user,password,p1,p2,p3,p4,p5,p6,countries
user15,pw15,"23.69767,103.30372","50.879655,20.628806","-34.428377,150.893892","25.907854,100.190243","40.016412,-105.259703","24.734319,81.334404","Myanmar,Scarborough Reef,Somalia,Argentina,Niger,Algeria,Cape Verde,Latvia"
user16,pw16,"24.574464,80.833951","39.760983,-84.198952","-29.781392,-51.116725","50.879655,20.628806","42.77139,129.42333","35.272532,137.03247","Saint Vincent and the Grenadines,South Georgia and South Sandwich Islands,Tuvalu,Burkina Faso,Thailand,New Caledonia,Saint Pierre and Miquelon,Sri Lanka,Egypt,Serranilla Bank,Namibia,Equatorial Guinea,Somalia,Gabon,Saint Martin"
user17,pw17,"24.574464,80.833951","39.760983,-84.198952","-29.781392,-51.116725","50.879655,20.628806","42.77139,129.42333","35.272532,137.03247","Saint Vincent and the Grenadines,South Georgia and South Sandwich Islands,Tuvalu,Burkina Faso,Thailand,New Caledonia,Saint Pierre and Miquelon,Sri Lanka"
user18,pw18,"-34.428377,150.893892","19.47966,37.199371","43.817726,11.370028","48.291224,25.95741","25.907854,100.190243","20.553642,74.522992","Ireland,Guernsey,Yemen,Tunisia,United States Virgin Islands,Liberia,French Polynesia,Cape Verde,Bangladesh,United Kingdom,Myanmar,Italy,Guinea Bissau,Liechtenstein,Equatorial Guinea,Namibia"
user19,pw19,"24.574464,80.833951","52.52431,85.155709","54.481604,-0.619792","-37.671696,176.139348","-34.428377,150.893892","55.084877,87.040012","Saint Martin,Burkina Faso,Niger,El Salvador,Japan"
user20,pw20,"24.574464,80.833951","39.760983,-84.198952","-29.781392,-51.116725","50.879655,20.628806","42.77139,129.42333","35.272532,137.03247","Saint Vincent and the Grenadines,South Georgia and South Sandwich Islands,Tuvalu,Burkina Faso,Thailand"
user21,pw21,"-8.283226,-35.041551","9.56009,-69.21475","53.88333,25.29972","41.738529,86.19873","20.553642,74.522992","19.47966,37.199371","Ecuador,Kosovo,South Georgia and South Sandwich Islands,Sri Lanka,Coral Sea Islands,Macao S.A.R,Gabon,Thailand,Yemen"
user22,pw22,"42.77139,129.42333","47.138691,37.558427","40.598583,-75.468316","46.903549,19.693312","8.9936,-79.51973","8.890831,125.591516","Kuwait,Burundi,Nigeria,Georgia,Bhutan,Poland,Guam,Morocco,Sao Tome and Principe"
user23,pw23,"-34.428377,150.893892","19.47966,37.199371","43.817726,11.370028","48.291224,25.95741","25.907854,100.190243","20.553642,74.522992","Ireland,Guernsey,Yemen,Tunisia,United States Virgin Islands,Liberia,French Polynesia,Cape Verde,Bangladesh,United Kingdom,Myanmar,Italy,Guinea Bissau,Liechtenstein,Equatorial Guinea,Namibia"
user24,pw24,"40.598583,-75.468316","47.656291,-122.351793","39.760983,-84.198952","-24.618994,25.929288","40.016412,-105.259703","23.69767,103.30372","Sudan,Macao S.A.R,New Zealand,Anguilla,Greece,Saint Lucia,Nepal,Oman,Azerbaijan,Palestine,Malaysia,Egypt,Equatorial Guinea,British Virgin Islands,Namibia,Niger,South Sudan,Senegal"
user25,pw25,"53.88333,25.29972","-8.272046,-35.970224","8.890831,125.591516","58.943598,5.714572","23.69767,103.30372","26.705206,89.139624","Bolivia,Guinea Bissau,Brunei,Singapore,Chad,Guatemala,Bulgaria,Nepal,Australia,France,Argentina,Equatorial Guinea,Benin,Hong Kong S.A.R.,Grenada,Namibia,Saudi Arabia"
user26,pw26,"-24.618994,25.929288","47.138691,37.558427","38.124663,-122.228542","-29.781392,-51.116725","43.817726,11.370028","50.879655,20.628806","Puerto Rico,Colombia,Bhutan,Japan,Finland,Senegal,Cook Islands,Cameroon,United States Virgin Islands,Laos,Iceland,Israel,Poland,Algeria"
user27,pw27,"23.69767,103.30372","50.879655,20.628806","-34.428377,150.893892","25.907854,100.190243","40.016412,-105.259703","24.734319,81.334404","Myanmar,Scarborough Reef,Somalia,Argentina,Niger,Algeria,Cape Verde,Latvia,Republic of Congo,Luxembourg,Libya,Armenia,Somaliland,Namibia,Paraguay,Equatorial Guinea,Democratic Republic of the Congo,Central African Republic,Liberia"
user28,pw28,"53.88333,25.29972","47.138691,37.558427","40.016412,-105.259703","45.473702,9.170685","36.84556,115.71167","19.807665,85.840616","Bolivia,Saudi Arabia,Lesotho,Bhutan,Western Sahara,Seychelles"
user29,pw29,"8.9936,-79.51973","53.88333,25.29972","38.124663,-122.228542","-3.011942,-59.979328","39.760983,-84.198952","-8.283226,-35.041551","Chad,United States Virgin Islands,Vatican,Falkland Islands,Puerto Rico,Fiji,Aruba,Sudan,Gambia,Bolivia,Scarborough Reef,Nicaragua,Iran,Finland,Central African Republic"
user30,pw30,"24.574464,80.833951","52.52431,85.155709","54.481604,-0.619792","-37.671696,176.139348","-34.428377,150.893892","55.084877,87.040012","Saint Martin,Burkina Faso,Niger,El Salvador,Japan,Costa Rica,Netherlands,Somaliland,Croatia,American Samoa,Austria,Equatorial Guinea,Cape Verde,,Russia,Aruba,Vatican,Clipperton Island,Namibia"
user31,pw31,"35.272532,137.03247","39.760983,-84.198952","42.77139,129.42333","28.167051,78.885643","-8.272046,-35.970224","8.890831,125.591516","Croatia,Nepal,Sierra Leone,Gambia,North Korea,Clipperton Island,Palestine,Egypt,British Virgin Islands,Saint Kitts and Nevis,Kuwait,Grenada,Burundi,Belgium,Brunei,Namibia,Malta,Seychelles,Latvia,Equatorial Guinea"
user32,pw32,"35.272532,137.03247","39.760983,-84.198952","42.77139,129.42333","28.167051,78.885643","-8.272046,-35.970224","8.890831,125.591516","Croatia,Nepal,Sierra Leone,Gambia,North Korea,Clipperton Island"
user33,pw33,"19.47966,37.199371","-8.272046,-35.970224","-22.875689,-47.216496","59.911039,30.340232","-24.618994,25.929288","39.760983,-84.198952","Bangladesh,Brunei,New Zealand,Hong Kong S.A.R.,San Marino"
user34,pw34,"23.69767,103.30372","50.879655,20.628806","-34.428377,150.893892","25.907854,100.190243","40.016412,-105.259703","24.734319,81.334404","Myanmar,Scarborough Reef,Somalia,Argentina,Niger,Algeria,Cape Verde,Latvia,Republic of Congo"
user35,pw35,"42.77139,129.42333","47.138691,37.558427","40.598583,-75.468316","46.903549,19.693312","8.9936,-79.51973","8.890831,125.591516","Kuwait,Burundi,Nigeria,Georgia,Bhutan,Poland,Guam,Morocco,Sao Tome and Principe,Senegal,Venezuela,Libya,United Kingdom,Sierra Leone,Western Sahara,Kosovo,North Korea,Equatorial Guinea"
user36,pw36,"48.291224,25.95741","61.097602,72.598598","9.56009,-69.21475","40.016412,-105.259703","53.88333,25.29972","35.272532,137.03247","Estonia,Vietnam,Norway,Laos,Italy,Ghana,Macao S.A.R,Somalia,Albania,Guernsey,Saint Kitts and Nevis,Guatemala,Equatorial Guinea,Coral Sea Islands,Nepal"
user37,pw37,"24.574464,80.833951","39.760983,-84.198952","-29.781392,-51.116725","50.879655,20.628806","42.77139,129.42333","35.272532,137.03247","Saint Vincent and the Grenadines,South Georgia and South Sandwich Islands,Tuvalu,Burkina Faso,Thailand,New Caledonia,Saint Pierre and Miquelon,Sri Lanka,Egypt,Serranilla Bank,Namibia,Equatorial Guinea,Somalia,Gabon,Saint Martin,Cook Islands"
user38,pw38,"48.291224,25.95741","61.097602,72.598598","9.56009,-69.21475","40.016412,-105.259703","53.88333,25.29972","35.272532,137.03247","Estonia,Vietnam,Norway,Laos,Italy,Ghana,Macao S.A.R,Somalia,Albania,Guernsey,Saint Kitts and Nevis,Guatemala,Equatorial Guinea,Coral Sea Islands,Nepal"
user39,pw39,"-34.428377,150.893892","19.47966,37.199371","43.817726,11.370028","48.291224,25.95741","25.907854,100.190243","20.553642,74.522992","Ireland,Guernsey,Yemen,Tunisia,United States Virgin Islands"
user40,pw40,"53.88333,25.29972","-8.272046,-35.970224","8.890831,125.591516","58.943598,5.714572","23.69767,103.30372","26.705206,89.139624","Bolivia,Guinea Bissau,Brunei,Singapore,Chad"
user41,pw41,"35.272532,137.03247","39.760983,-84.198952","42.77139,129.42333","28.167051,78.885643","-8.272046,-35.970224","8.890831,125.591516","Croatia,Nepal,Sierra Leone,Gambia,North Korea,Clipperton Island,Palestine,Egypt"
user42,pw42,"35.272532,137.03247","39.760983,-84.198952","42.77139,129.42333","28.167051,78.885643","-8.272046,-35.970224","8.890831,125.591516","Croatia,Nepal,Sierra Leone,Gambia,North Korea,Clipperton Island,Palestine,Egypt"
user43,pw43,"53.88333,25.29972","47.138691,37.558427","40.016412,-105.259703","45.473702,9.170685","36.84556,115.71167","19.807665,85.840616","Bolivia,Saudi Arabia,Lesotho,Bhutan,Western Sahara,Seychelles,Honduras,Liechtenstein,Armenia,Cuba,Saint Kitts and Nevis,South Africa"
user44,pw44,"48.291224,25.95741","61.097602,72.598598","9.56009,-69.21475","40.016412,-105.259703","53.88333,25.29972","35.272532,137.03247","Estonia,Vietnam,Norway,Laos,Italy,Ghana,Macao S.A.R,Somalia,Albania,Guernsey,Saint Kitts and Nevis,Guatemala,Equatorial Guinea,Coral Sea Islands,Nepal,Morocco,Malaysia,Namibia,Poland"
user45,pw45,"-22.875689,-47.216496","48.291224,25.95741","23.09639,109.60917","-8.272046,-35.970224","61.097602,72.598598","52.52431,85.155709","Serranilla Bank,Barbados,Republic of Serbia,Estonia,China,Norway,Nepal,Brunei,Albania,Costa Rica,Cambodia,Equatorial Guinea,Namibia"
user46,pw46,"8.9936,-79.51973","53.88333,25.29972","38.124663,-122.228542","-3.011942,-59.979328","39.760983,-84.198952","-8.283226,-35.041551","Chad,United States Virgin Islands,Vatican,Falkland Islands"
user47,pw47,"24.574464,80.833951","39.760983,-84.198952","-29.781392,-51.116725","50.879655,20.628806","42.77139,129.42333","35.272532,137.03247","Saint Vincent and the Grenadines,South Georgia and South Sandwich Islands,Tuvalu,Burkina Faso,Thailand,New Caledonia,Saint Pierre and Miquelon,Sri Lanka,Egypt,Serranilla Bank,Namibia,Equatorial Guinea"
user48,pw48,"37.05944,37.3825","41.738529,86.19873","46.903549,19.693312","54.481604,-0.619792","36.84556,115.71167","55.084877,87.040012","Mauritius,Guinea,Guatemala,Chile,Brazil,Nepal,Canada,Turkey,American Samoa"
user49,pw49,"42.77139,129.42333","47.138691,37.558427","40.598583,-75.468316","46.903549,19.693312","8.9936,-79.51973","8.890831,125.591516","Kuwait,Burundi,Nigeria,Georgia,Bhutan,Poland,Guam,Morocco,Sao Tome and Principe,Senegal,Venezuela,Libya"
user50,pw50,"48.291224,25.95741","61.097602,72.598598","9.56009,-69.21475","40.016412,-105.259703","53.88333,25.29972","35.272532,137.03247","Estonia,Vietnam,Norway,Laos,Italy,Ghana,Macao S.A.R,Somalia,Albania,Guernsey,Saint Kitts and Nevis,Guatemala,Equatorial Guinea,Coral Sea Islands"
user51,pw51,"42.77139,129.42333","47.138691,37.558427","40.598583,-75.468316","46.903549,19.693312","8.9936,-79.51973","8.890831,125.591516","Kuwait,Burundi,Nigeria,Georgia,Bhutan,Poland,Guam,Morocco,Sao Tome and Principe,Senegal,Venezuela,Libya,United Kingdom,Sierra Leone"
user52,pw52,"42.77139,129.42333","47.138691,37.558427","40.598583,-75.468316","46.903549,19.693312","8.9936,-79.51973","8.890831,125.591516","Kuwait,Burundi,Nigeria,Georgia,Bhutan"
user53,pw53,"53.88333,25.29972","-8.272046,-35.970224","8.890831,125.591516","58.943598,5.714572","23.69767,103.30372","26.705206,89.139624","Bolivia,Guinea Bissau,Brunei,Singapore,Chad,Guatemala,Bulgaria,Nepal,Australia,France,Argentina,Equatorial Guinea,Benin,Hong Kong S.A.R.,Grenada,Namibia,Saudi Arabia,Switzerland"
user54,pw54,"53.88333,25.29972","-8.272046,-35.970224","8.890831,125.591516","58.943598,5.714572","23.69767,103.30372","26.705206,89.139624","Bolivia,Guinea Bissau,Brunei,Singapore,Chad,Guatemala,Bulgaria,Nepal,Australia,France,Argentina,Equatorial Guinea,Benin,Hong Kong S.A.R."
user55,pw55,"53.88333,25.29972","-8.272046,-35.970224","8.890831,125.591516","58.943598,5.714572","23.69767,103.30372","26.705206,89.139624","Bolivia,Guinea Bissau,Brunei,Singapore,Chad,Guatemala,Bulgaria,Nepal,Australia,France,Argentina"
user56,pw56,"-8.283226,-35.041551","9.56009,-69.21475","53.88333,25.29972","41.738529,86.19873","20.553642,74.522992","19.47966,37.199371","Ecuador,Kosovo,South Georgia and South Sandwich Islands,Sri Lanka,Coral Sea Islands"
user57,pw57,"-34.428377,150.893892","19.47966,37.199371","43.817726,11.370028","48.291224,25.95741","25.907854,100.190243","20.553642,74.522992","Ireland,Guernsey,Yemen,Tunisia,United States Virgin Islands,Liberia,French Polynesia,Cape Verde,Bangladesh,United Kingdom,Myanmar"
user58,pw58,"53.88333,25.29972","47.138691,37.558427","40.016412,-105.259703","45.473702,9.170685","36.84556,115.71167","19.807665,85.840616","Bolivia,Saudi Arabia,Lesotho,Bhutan,Western Sahara"
user59,pw59,"24.574464,80.833951","39.760983,-84.198952","-29.781392,-51.116725","50.879655,20.628806","42.77139,129.42333","35.272532,137.03247","Saint Vincent and the Grenadines,South Georgia and South Sandwich Islands,Tuvalu,Burkina Faso,Thailand,New Caledonia,Saint Pierre and Miquelon,Sri Lanka,Egypt"
user60,pw60,"-34.428377,150.893892","19.47966,37.199371","43.817726,11.370028","48.291224,25.95741","25.907854,100.190243","20.553642,74.522992","Ireland,Guernsey,Yemen,Tunisia,United States Virgin Islands,Liberia,French Polynesia,Cape Verde,Bangladesh,United Kingdom,Myanmar,Italy,Guinea Bissau,Liechtenstein"
user61,pw61,"24.574464,80.833951","52.52431,85.155709","54.481604,-0.619792","-37.671696,176.139348","-34.428377,150.893892","55.084877,87.040012","Saint Martin,Burkina Faso,Niger,El Salvador,Japan,Costa Rica,Netherlands,Somaliland,Croatia,American Samoa,Austria,Equatorial Guinea,Cape Verde,,Russia,Aruba,Vatican,Clipperton Island"
user62,pw62,"24.574464,80.833951","52.52431,85.155709","54.481604,-0.619792","-37.671696,176.139348","-34.428377,150.893892","55.084877,87.040012","Saint Martin,Burkina Faso,Niger,El Salvador,Japan,Costa Rica,Netherlands,Somaliland,Croatia,American Samoa"
user63,pw63,"42.77139,129.42333","47.138691,37.558427","40.598583,-75.468316","46.903549,19.693312","8.9936,-79.51973","8.890831,125.591516","Kuwait,Burundi,Nigeria,Georgia,Bhutan,Poland,Guam,Morocco,Sao Tome and Principe,Senegal,Venezuela,Libya,United Kingdom"
user64,pw64,"24.574464,80.833951","52.52431,85.155709","54.481604,-0.619792","-37.671696,176.139348","-34.428377,150.893892","55.084877,87.040012","Saint Martin,Burkina Faso,Niger,El Salvador,Japan"
user65,pw65,"-8.283226,-35.041551","9.56009,-69.21475","53.88333,25.29972","41.738529,86.19873","20.553642,74.522992","19.47966,37.199371","Ecuador,Kosovo,South Georgia and South Sandwich Islands,Sri Lanka,Coral Sea Islands,Macao S.A.R,Gabon,Thailand,Yemen,Portugal,Vatican,Paraguay,Guam,Nepal,Equatorial Guinea,Bolivia,Venezuela"
user66,pw66,"53.88333,25.29972","-8.272046,-35.970224","8.890831,125.591516","58.943598,5.714572","23.69767,103.30372","26.705206,89.139624","Bolivia,Guinea Bissau,Brunei,Singapore,Chad,Guatemala,Bulgaria,Nepal,Australia,France,Argentina,Equatorial Guinea,Benin,Hong Kong S.A.R.,Grenada,Namibia,Saudi Arabia,Switzerland,Saint Pierre and Miquelon"
user67,pw67,"40.598583,-75.468316","47.656291,-122.351793","39.760983,-84.198952","-24.618994,25.929288","40.016412,-105.259703","23.69767,103.30372","Sudan,Macao S.A.R,New Zealand,Anguilla,Greece,Saint Lucia,Nepal,Oman,Azerbaijan,Palestine,Malaysia,Egypt,Equatorial Guinea,British Virgin Islands,Namibia,Niger,South Sudan,Senegal,Guernsey,Iraq"
user68,pw68,"-34.428377,150.893892","19.47966,37.199371","43.817726,11.370028","48.291224,25.95741","25.907854,100.190243","20.553642,74.522992","Ireland,Guernsey,Yemen,Tunisia,United States Virgin Islands,Liberia,French Polynesia"
user69,pw69,"42.77139,129.42333","47.138691,37.558427","40.598583,-75.468316","46.903549,19.693312","8.9936,-79.51973","8.890831,125.591516","Kuwait,Burundi,Nigeria,Georgia,Bhutan,Poland,Guam,Morocco,Sao Tome and Principe,Senegal,Venezuela,Libya,United Kingdom"
user70,pw70,"42.77139,129.42333","47.138691,37.558427","40.598583,-75.468316","46.903549,19.693312","8.9936,-79.51973","8.890831,125.591516","Kuwait,Burundi,Nigeria,Georgia,Bhutan,Poland,Guam,Morocco,Sao Tome and Principe,Senegal,Venezuela,Libya,United Kingdom"
user71,pw71,"37.05944,37.3825","41.738529,86.19873","46.903549,19.693312","54.481604,-0.619792","36.84556,115.71167","55.084877,87.040012","Mauritius,Guinea,Guatemala,Chile,Brazil,Nepal,Canada,Turkey,American Samoa,Tuvalu,United Arab Emirates,Republic of Serbia,,Cook Islands,Namibia,Equatorial Guinea,Iran,Republic of Congo,Iceland"
user72,pw72,"37.05944,37.3825","41.738529,86.19873","46.903549,19.693312","54.481604,-0.619792","36.84556,115.71167","55.084877,87.040012","Mauritius,Guinea,Guatemala,Chile,Brazil,Nepal,Canada,Turkey,American Samoa,Tuvalu,United Arab Emirates,Republic of Serbia,"
user73,pw73,"-22.875689,-47.216496","48.291224,25.95741","23.09639,109.60917","-8.272046,-35.970224","61.097602,72.598598","52.52431,85.155709","Serranilla Bank,Barbados,Republic of Serbia,Estonia,China,Norway,Nepal,Brunei,Albania,Costa Rica,Cambodia,Equatorial Guinea,Namibia,Antigua and Barbuda"
user74,pw74,"-22.875689,-47.216496","48.291224,25.95741","23.09639,109.60917","-8.272046,-35.970224","61.097602,72.598598","52.52431,85.155709","Serranilla Bank,Barbados,Republic of Serbia,Estonia,China"
user75,pw75,"24.574464,80.833951","52.52431,85.155709","54.481604,-0.619792","-37.671696,176.139348","-34.428377,150.893892","55.084877,87.040012","Saint Martin,Burkina Faso,Niger,El Salvador,Japan,Costa Rica,Netherlands,Somaliland,Croatia,American Samoa,Austria,Equatorial Guinea,Cape Verde,,Russia,Aruba,Vatican"
user76,pw76,"24.574464,80.833951","39.760983,-84.198952","-29.781392,-51.116725","50.879655,20.628806","42.77139,129.42333","35.272532,137.03247","Saint Vincent and the Grenadines,South Georgia and South Sandwich Islands,Tuvalu,Burkina Faso,Thailand"
user77,pw77,"53.88333,25.29972","47.138691,37.558427","40.016412,-105.259703","45.473702,9.170685","36.84556,115.71167","19.807665,85.840616","Bolivia,Saudi Arabia,Lesotho,Bhutan,Western Sahara,Seychelles,Honduras,Liechtenstein,Armenia,Cuba,Saint Kitts and Nevis,South Africa,Equatorial Guinea,Vietnam,Namibia,Guam,Chad"
user78,pw78,"24.574464,80.833951","52.52431,85.155709","54.481604,-0.619792","-37.671696,176.139348","-34.428377,150.893892","55.084877,87.040012","Saint Martin,Burkina Faso,Niger,El Salvador,Japan,Costa Rica,Netherlands,Somaliland,Croatia,American Samoa,Austria,Equatorial Guinea,Cape Verde,,Russia,Aruba"
user79,pw79,"42.77139,129.42333","47.138691,37.558427","40.598583,-75.468316","46.903549,19.693312","8.9936,-79.51973","8.890831,125.591516","Kuwait,Burundi,Nigeria,Georgia,Bhutan,Poland,Guam,Morocco,Sao Tome and Principe"
user80,pw80,"24.574464,80.833951","52.52431,85.155709","54.481604,-0.619792","-37.671696,176.139348","-34.428377,150.893892","55.084877,87.040012","Saint Martin,Burkina Faso,Niger,El Salvador,Japan,Costa Rica,Netherlands,Somaliland,Croatia,American Samoa,Austria,Equatorial Guinea,Cape Verde,,Russia,Aruba,Vatican"
user81,pw81,"53.88333,25.29972","47.138691,37.558427","40.016412,-105.259703","45.473702,9.170685","36.84556,115.71167","19.807665,85.840616","Bolivia,Saudi Arabia,Lesotho,Bhutan,Western Sahara,Seychelles,Honduras"
user82,pw82,"24.574464,80.833951","52.52431,85.155709","54.481604,-0.619792","-37.671696,176.139348","-34.428377,150.893892","55.084877,87.040012","Saint Martin,Burkina Faso,Niger,El Salvador,Japan,Costa Rica,Netherlands,Somaliland,Croatia,American Samoa,Austria,Equatorial Guinea,Cape Verde"
user83,pw83,"-22.875689,-47.216496","48.291224,25.95741","23.09639,109.60917","-8.272046,-35.970224","61.097602,72.598598","52.52431,85.155709","Serranilla Bank,Barbados,Republic of Serbia,Estonia,China,Norway,Nepal,Brunei,Albania,Costa Rica,Cambodia,Equatorial Guinea,Namibia,Antigua and Barbuda"
user84,pw84,"53.88333,25.29972","47.138691,37.558427","40.016412,-105.259703","45.473702,9.170685","36.84556,115.71167","19.807665,85.840616","Bolivia,Saudi Arabia,Lesotho,Bhutan,Western Sahara"
user85,pw85,"53.88333,25.29972","47.138691,37.558427","40.016412,-105.259703","45.473702,9.170685","36.84556,115.71167","19.807665,85.840616","Bolivia,Saudi Arabia,Lesotho,Bhutan,Western Sahara,Seychelles,Honduras,Liechtenstein,Armenia"
user86,pw86,"24.574464,80.833951","52.52431,85.155709","54.481604,-0.619792","-37.671696,176.139348","-34.428377,150.893892","55.084877,87.040012","Saint Martin,Burkina Faso,Niger,El Salvador,Japan,Costa Rica,Netherlands,Somaliland,Croatia,American Samoa,Austria,Equatorial Guinea,Cape Verde,,Russia,Aruba,Vatican,Clipperton Island,Namibia"
user87,pw87,"-8.283226,-35.041551","9.56009,-69.21475","53.88333,25.29972","41.738529,86.19873","20.553642,74.522992","19.47966,37.199371","Ecuador,Kosovo,South Georgia and South Sandwich Islands,Sri Lanka,Coral Sea Islands,Macao S.A.R,Gabon"
user88,pw88,"24.574464,80.833951","39.760983,-84.198952","-29.781392,-51.116725","50.879655,20.628806","42.77139,129.42333","35.272532,137.03247","Saint Vincent and the Grenadines,South Georgia and South Sandwich Islands,Tuvalu,Burkina Faso,Thailand,New Caledonia,Saint Pierre and Miquelon,Sri Lanka,Egypt,Serranilla Bank,Namibia"
user89,pw89,"-34.428377,150.893892","19.47966,37.199371","43.817726,11.370028","48.291224,25.95741","25.907854,100.190243","20.553642,74.522992","Ireland,Guernsey,Yemen,Tunisia,United States Virgin Islands,Liberia,French Polynesia,Cape Verde,Bangladesh,United Kingdom,Myanmar,Italy,Guinea Bissau,Liechtenstein,Equatorial Guinea,Namibia,Cameroon,Estonia,Saint Lucia"
user90,pw90,"19.47966,37.199371","-8.272046,-35.970224","-22.875689,-47.216496","59.911039,30.340232","-24.618994,25.929288","39.760983,-84.198952","Bangladesh,Brunei,New Zealand,Hong Kong S.A.R.,San Marino,Saint Vincent and the Grenadines,Barbados,Equatorial Guinea,Antigua and Barbuda,Nepal,Kuwait,Sudan,Palestine,Namibia,Israel,Rwanda"
user91,pw91,"42.77139,129.42333","47.138691,37.558427","40.598583,-75.468316","46.903549,19.693312","8.9936,-79.51973","8.890831,125.591516","Kuwait,Burundi,Nigeria,Georgia,Bhutan,Poland,Guam,Morocco"
user92,pw92,"40.598583,-75.468316","47.656291,-122.351793","39.760983,-84.198952","-24.618994,25.929288","40.016412,-105.259703","23.69767,103.30372","Sudan,Macao S.A.R,New Zealand,Anguilla,Greece,Saint Lucia,Nepal,Oman,Azerbaijan,Palestine,Malaysia,Egypt,Equatorial Guinea,British Virgin Islands"
user93,pw93,"35.272532,137.03247","39.760983,-84.198952","42.77139,129.42333","28.167051,78.885643","-8.272046,-35.970224","8.890831,125.591516","Croatia,Nepal,Sierra Leone,Gambia,North Korea,Clipperton Island,Palestine,Egypt,British Virgin Islands,Saint Kitts and Nevis"
